OID_,STATEFP,COUNTYFP,TRACTCE,GEOID,GEOIDFQ,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Area,maxtemp_c
31,55,025,001706,55025001706,1400000US55025001706,17.06,Census Tract 17.06,G5020,S,513259.000000000000000,0.000000000000000,+43.0757022,-089.3821026,513260.851858999987599,36.9701996
32,55,025,000301,55025000301,1400000US55025000301,3.01,Census Tract 3.01,G5020,S,928377.000000000000000,0.000000000000000,+43.0720370,-089.4595332,928378.241629999945872,36.9701996
33,55,025,000302,55025000302,1400000US55025000302,3.02,Census Tract 3.02,G5020,S,1430511.000000000000000,0.000000000000000,+43.0648171,-089.4607267,1430511.722450000001118,36.9701996
34,55,025,000408,55025000408,1400000US55025000408,4.08,Census Tract 4.08,G5020,S,3908990.000000000000000,25103.000000000000000,+43.0578771,-089.4854465,3934087.407949999906123,36.8897018
35,55,025,000902,55025000902,1400000US55025000902,9.02,Census Tract 9.02,G5020,S,1348774.000000000000000,0.000000000000000,+43.0702062,-089.4259672,1348773.890379999997094,36.9701996
36,55,025,001102,55025001102,1400000US55025001102,11.02,Census Tract 11.02,G5020,S,1069612.000000000000000,3186.000000000000000,+43.0758230,-089.4094026,1072795.676949999993667,36.7485008
37,55,025,001606,55025001606,1400000US55025001606,16.06,Census Tract 16.06,G5020,S,421670.000000000000000,0.000000000000000,+43.0701392,-089.3956339,421669.479093000001740,36.9701996
38,55,025,001804,55025001804,1400000US55025001804,18.04,Census Tract 18.04,G5020,S,839072.000000000000000,7861.000000000000000,+43.0977240,-089.3658065,846931.521485000033863,36.7485008
39,55,025,013301,55025013301,1400000US55025013301,133.01,Census Tract 133.01,G5020,S,16336198.000000000000000,0.000000000000000,+43.2450217,-089.3200754,16336202.381200000643730,36.4053001
40,55,025,000407,55025000407,1400000US55025000407,4.07,Census Tract 4.07,G5020,S,2750038.000000000000000,13351.000000000000000,+43.0401727,-089.4893192,2763388.593609999865294,36.8897018
41,55,025,000901,55025000901,1400000US55025000901,9.01,Census Tract 9.01,G5020,S,647728.000000000000000,0.000000000000000,+43.0651598,-089.4228029,647724.531063999980688,36.9701996
42,55,025,001101,55025001101,1400000US55025001101,11.01,Census Tract 11.01,G5020,S,668728.000000000000000,0.000000000000000,+43.0705626,-089.4073908,668729.508259000023827,36.9701996
43,55,025,001605,55025001605,1400000US55025001605,16.05,Census Tract 16.05,G5020,S,353502.000000000000000,0.000000000000000,+43.0675800,-089.3896342,353501.208378000010271,36.9701996
44,55,025,001704,55025001704,1400000US55025001704,17.04,Census Tract 17.04,G5020,S,422109.000000000000000,0.000000000000000,+43.0729164,-089.3860992,422111.230261999997310,36.9701996
45,55,025,010903,55025010903,1400000US55025010903,109.03,Census Tract 109.03,G5020,S,9734493.000000000000000,44138.000000000000000,+43.0303338,-089.5503991,9778635.991869999095798,36.6399002
46,55,025,001802,55025001802,1400000US55025001802,18.02,Census Tract 18.02,G5020,S,713893.000000000000000,49227.000000000000000,+43.0875040,-089.3747347,763121.131611000047997,36.7485008
47,55,025,000406,55025000406,1400000US55025000406,4.06,Census Tract 4.06,G5020,S,3205183.000000000000000,0.000000000000000,+43.0439815,-089.5247929,3205186.917309999931604,36.6399002
48,55,025,013302,55025013302,1400000US55025013302,133.02,Census Tract 133.02,G5020,S,8077793.000000000000000,200434.000000000000000,+43.2485097,-089.3539987,8278228.088270000182092,36.4053001
49,55,025,001603,55025001603,1400000US55025001603,16.03,Census Tract 16.03,G5020,S,175758.000000000000000,0.000000000000000,+43.0734025,-089.3954294,175757.832254000008106,36.7485008
50,55,025,012004,55025012004,1400000US55025012004,120.04,Census Tract 120.04,G5020,S,12373269.000000000000000,19365.000000000000000,+43.0884693,-089.1754883,12392629.468900000676513,36.4275017
51,55,025,001604,55025001604,1400000US55025001604,16.04,Census Tract 16.04,G5020,S,274805.000000000000000,0.000000000000000,+43.0766250,-089.3922265,274805.200494999997318,36.7485008
52,55,025,012502,55025012502,1400000US55025012502,125.02,Census Tract 125.02,G5020,S,29406509.000000000000000,360653.000000000000000,+42.9372009,-089.4059846,29767162.624699998646975,36.5657005
53,55,025,000504,55025000504,1400000US55025000504,5.04,Census Tract 5.04,G5020,S,4968963.000000000000000,0.000000000000000,+43.0237699,-089.5156545,4968959.663239999674261,36.8897018
54,55,025,000600,55025000600,1400000US55025000600,6,Census Tract 6,G5020,S,3147405.000000000000000,124317.000000000000000,+43.0273239,-089.4573862,3271718.960979999974370,36.9701996
55,55,025,000700,55025000700,1400000US55025000700,7,Census Tract 7,G5020,S,2322579.000000000000000,0.000000000000000,+43.0426004,-089.4451245,2322581.934760000091046,36.9701996
56,55,025,000800,55025000800,1400000US55025000800,8,Census Tract 8,G5020,S,1915362.000000000000000,0.000000000000000,+43.0680165,-089.4438321,1915360.933540000114590,36.9701996
57,55,025,001000,55025001000,1400000US55025001000,10,Census Tract 10,G5020,S,1567721.000000000000000,0.000000000000000,+43.0587299,-089.4305173,1567718.424189999932423,36.9701996
58,55,025,002401,55025002401,1400000US55025002401,24.01,Census Tract 24.01,G5020,S,1841165.000000000000000,0.000000000000000,+43.1443253,-089.3776283,1841162.331280000042170,36.5938988
59,55,025,002402,55025002402,1400000US55025002402,24.02,Census Tract 24.02,G5020,S,2244974.000000000000000,0.000000000000000,+43.1375902,-089.3632519,2244976.490379999857396,36.5938988
60,55,025,002500,55025002500,1400000US55025002500,25,Census Tract 25,G5020,S,11124504.000000000000000,1451.000000000000000,+43.1384104,-089.3363477,11125952.627900000661612,36.6222992
61,55,025,002601,55025002601,1400000US55025002601,26.01,Census Tract 26.01,G5020,S,1542480.000000000000000,6933.000000000000000,+43.1119478,-089.3222936,1549412.694910000078380,36.6222992
62,55,025,002700,55025002700,1400000US55025002700,27,Census Tract 27,G5020,S,3149988.000000000000000,25383.000000000000000,+43.0940953,-089.3213285,3175369.703830000013113,36.6222992
63,55,025,010100,55025010100,1400000US55025010100,101,Census Tract 101,G5020,S,1923076.000000000000000,0.000000000000000,+43.0790663,-089.4487635,1923073.370459999889135,36.7766991
64,55,025,002602,55025002602,1400000US55025002602,26.02,Census Tract 26.02,G5020,S,6018954.000000000000000,0.000000000000000,+43.1382579,-089.3135516,6018950.283090000040829,36.2256012
65,55,025,002603,55025002603,1400000US55025002603,26.03,Census Tract 26.03,G5020,S,6343925.000000000000000,0.000000000000000,+43.1176516,-089.3013136,6343925.865430000238121,36.5270996
66,55,025,002800,55025002800,1400000US55025002800,28,Census Tract 28,G5020,S,1797931.000000000000000,0.000000000000000,+43.0768396,-089.3180740,1797931.077939999988303,36.5270996
67,55,025,002900,55025002900,1400000US55025002900,29,Census Tract 29,G5020,S,3359021.000000000000000,2963.000000000000000,+43.0589140,-089.3180168,3361983.411199999973178,36.5270996
68,55,025,003001,55025003001,1400000US55025003001,30.01,Census Tract 30.01,G5020,S,3770683.000000000000000,0.000000000000000,+43.0916621,-089.2997057,3770688.557659999933094,36.5270996
69,55,025,003100,55025003100,1400000US55025003100,31,Census Tract 31,G5020,S,10198820.000000000000000,98106.000000000000000,+43.0677589,-089.3011177,10296923.706000000238419,36.5270996
70,55,025,003200,55025003200,1400000US55025003200,32,Census Tract 32,G5020,S,2365237.000000000000000,57729.000000000000000,+43.0812626,-089.4325544,2422971.825459999963641,36.7485008
71,55,025,010501,55025010501,1400000US55025010501,105.01,Census Tract 105.01,G5020,S,8946663.000000000000000,14465.000000000000000,+43.0337201,-089.2905411,8961126.437909999862313,36.7224007
72,55,025,012501,55025012501,1400000US55025012501,125.01,Census Tract 125.01,G5020,S,26024980.000000000000000,241716.000000000000000,+42.9274417,-089.3620163,26266702.285799998790026,36.5657005
73,55,025,013700,55025013700,1400000US55025013700,137,Census Tract 137,G5020,S,19123384.000000000000000,182922.000000000000000,+42.9629264,-089.5421875,19306309.697200000286102,36.4803009
74,55,025,001200,55025001200,1400000US55025001200,12,Census Tract 12,G5020,S,1817511.000000000000000,44071.000000000000000,+43.0625975,-089.4056146,1861584.105949999997392,36.9701996
75,55,025,011000,55025011000,1400000US55025011000,110,Census Tract 110,G5020,S,2736912.000000000000000,199595.000000000000000,+43.0919938,-089.4977179,2936508.967050000093877,36.7766991
76,55,025,001300,55025001300,1400000US55025001300,13,Census Tract 13,G5020,S,1480602.000000000000000,0.000000000000000,+43.0541472,-089.3915434,1480604.960630000103265,36.9701996
77,55,025,011504,55025011504,1400000US55025011504,115.04,Census Tract 115.04,G5020,S,5125533.000000000000000,0.000000000000000,+43.1834893,-089.2521117,5125533.992200000211596,36.3148994
78,55,025,011505,55025011505,1400000US55025011505,115.05,Census Tract 115.05,G5020,S,2557735.000000000000000,0.000000000000000,+43.1865431,-089.2253508,2557733.674629999790341,36.2462006
79,55,025,010200,55025010200,1400000US55025010200,102,Census Tract 102,G5020,S,1810371.000000000000000,3967.000000000000000,+43.1173985,-089.3710499,1814325.876940000103787,36.6222992
80,55,025,010300,55025010300,1400000US55025010300,103,Census Tract 103,G5020,S,2246387.000000000000000,16710.000000000000000,+43.0676192,-089.3365917,2263096.692179999779910,36.7224007
81,55,025,010400,55025010400,1400000US55025010400,104,Census Tract 104,G5020,S,2094427.000000000000000,49628.000000000000000,+43.0558860,-089.3343991,2144053.929390000179410,36.7224007
82,55,025,010701,55025010701,1400000US55025010701,107.01,Census Tract 107.01,G5020,S,10218118.000000000000000,24016.000000000000000,+42.9943598,-089.4436069,10242135.339400000870228,36.7197990
83,55,025,000501,55025000501,1400000US55025000501,5.01,Census Tract 5.01,G5020,S,3351203.000000000000000,4385.000000000000000,+43.0333511,-089.4709218,3355589.545309999957681,36.8897018
84,55,025,011101,55025011101,1400000US55025011101,111.01,Census Tract 111.01,G5020,S,3078151.000000000000000,12673.000000000000000,+43.1017645,-089.4991993,3090826.220770000014454,36.7766991
85,55,025,011302,55025011302,1400000US55025011302,113.02,Census Tract 113.02,G5020,S,6701664.000000000000000,3710.000000000000000,+43.1863490,-089.4352534,6705376.884469999931753,36.6060982
86,55,025,011506,55025011506,1400000US55025011506,115.06,Census Tract 115.06,G5020,S,6255277.000000000000000,0.000000000000000,+43.1688405,-089.2429766,6255271.782540000043809,36.2542000
87,55,025,002100,55025002100,1400000US55025002100,21,Census Tract 21,G5020,S,3123882.000000000000000,308.000000000000000,+43.1044276,-089.3548380,3124187.737600000109524,36.6222992
88,55,025,002200,55025002200,1400000US55025002200,22,Census Tract 22,G5020,S,1882902.000000000000000,0.000000000000000,+43.1211036,-089.3623704,1882912.747179999947548,36.6222992
89,55,025,000204,55025000204,1400000US55025000204,2.04,Census Tract 2.04,G5020,S,2637213.000000000000000,0.000000000000000,+43.0678781,-089.5124362,2637212.216519999783486,36.6399002
90,55,025,011700,55025011700,1400000US55025011700,117,Census Tract 117,G5020,S,144571819.000000000000000,21124.000000000000000,+43.1489022,-089.1608896,144584255.384999990463257,36.6828003
91,55,025,011600,55025011600,1400000US55025011600,116,Census Tract 116,G5020,S,23315302.000000000000000,641344.000000000000000,+43.1936122,-089.1919852,23956641.277399998158216,36.3134003
92,55,025,012800,55025012800,1400000US55025012800,128,Census Tract 128,G5020,S,47735971.000000000000000,25085.000000000000000,+42.9969559,-089.7281369,47760985.641999997198582,36.4085999
93,55,025,002302,55025002302,1400000US55025002302,23.02,Census Tract 23.02,G5020,S,3254428.000000000000000,0.000000000000000,+43.1376482,-089.4003515,3254427.572099999990314,36.5938988
94,55,025,012100,55025012100,1400000US55025012100,121,Census Tract 121,G5020,S,150823131.000000000000000,2896652.000000000000000,+42.8834878,-089.1179994,153676750.970999985933304,36.6086998
95,55,025,000205,55025000205,1400000US55025000205,2.05,Census Tract 2.05,G5020,S,4085539.000000000000000,26558.000000000000000,+43.0802713,-089.4996930,4112097.285389999859035,36.7766991
96,55,025,012002,55025012002,1400000US55025012002,120.02,Census Tract 120.02,G5020,S,151886091.000000000000000,6205156.000000000000000,+43.0137277,-089.1813697,158091257.166999995708466,36.6460991
97,55,025,010702,55025010702,1400000US55025010702,107.02,Census Tract 107.02,G5020,S,60641348.000000000000000,269201.000000000000000,+42.9758435,-089.4597727,60910589.928800001740456,36.7197990
98,55,025,001502,55025001502,1400000US55025001502,15.02,Census Tract 15.02,G5020,S,9567678.000000000000000,1229971.000000000000000,+43.0355094,-089.3447908,10797639.362299999222159,36.9701996
99,55,025,011900,55025011900,1400000US55025011900,119,Census Tract 119,G5020,S,185987529.000000000000000,1281804.000000000000000,+43.0219587,-089.0711820,187122829.960999995470047,36.8218002
100,55,025,012700,55025012700,1400000US55025012700,127,Census Tract 127,G5020,S,231413491.000000000000000,52350.000000000000000,+43.0816965,-089.7824777,231420286.069999992847443,36.5676994
101,55,025,012600,55025012600,1400000US55025012600,126,Census Tract 126,G5020,S,277375459.000000000000000,1118776.000000000000000,+42.8895500,-089.6578513,278477348.394999980926514,36.6027985
102,55,025,011800,55025011800,1400000US55025011800,118,Census Tract 118,G5020,S,183471692.000000000000000,1395774.000000000000000,+43.2041239,-089.0707565,184779439.985000014305115,36.8218002
103,55,025,991702,55025991702,1400000US55025991702,9917.02,Census Tract 9917.02,G5020,S,0.000000000000000,40014934.000000000000000,+43.1054034,-089.4198192,40014950.865999996662140,36.7766991
104,55,025,001402,55025001402,1400000US55025001402,14.02,Census Tract 14.02,G5020,S,8161841.000000000000000,1520166.000000000000000,+43.0404689,-089.4259789,9682011.933289999142289,36.9701996
105,55,025,000100,55025000100,1400000US55025000100,1,Census Tract 1,G5020,S,2065248.000000000000000,0.000000000000000,+43.0829411,-089.4754524,2065246.946359999943525,36.7766991
106,55,025,001401,55025001401,1400000US55025001401,14.01,Census Tract 14.01,G5020,S,4124042.000000000000000,52550.000000000000000,+43.0429997,-089.3861010,4176589.933660000097007,36.9701996
107,55,025,001501,55025001501,1400000US55025001501,15.01,Census Tract 15.01,G5020,S,1088841.000000000000000,8854.000000000000000,+43.0483414,-089.3528893,1097692.662350000115111,36.7224007
108,55,025,991703,55025991703,1400000US55025991703,9917.03,Census Tract 9917.03,G5020,S,0.000000000000000,13684943.000000000000000,+43.0684101,-089.3583551,13684944.074400000274181,36.9701996
109,55,025,002000,55025002000,1400000US55025002000,20,Census Tract 20,G5020,S,2607926.000000000000000,33441.000000000000000,+43.0975675,-089.3388270,2641362.451390000060201,36.6222992
110,55,025,012201,55025012201,1400000US55025012201,122.01,Census Tract 122.01,G5020,S,10132757.000000000000000,615837.000000000000000,+42.9275078,-089.1942303,10748591.937400000169873,36.5960999
111,55,025,012202,55025012202,1400000US55025012202,122.02,Census Tract 122.02,G5020,S,5247044.000000000000000,2268.000000000000000,+42.9289547,-089.2362492,5249313.939849999733269,36.4972000
112,55,025,011301,55025011301,1400000US55025011301,113.01,Census Tract 113.01,G5020,S,20703905.000000000000000,0.000000000000000,+43.2017449,-089.4538554,20703911.656700000166893,36.6060982
113,55,025,012300,55025012300,1400000US55025012300,123,Census Tract 123,G5020,S,22170235.000000000000000,594865.000000000000000,+42.8999180,-089.2132785,22765096.098000001162291,36.6086998
114,55,025,013000,55025013000,1400000US55025013000,130,Census Tract 130,G5020,S,36006491.000000000000000,15482.000000000000000,+43.1188084,-089.6430969,36021974.841399997472763,36.6234016
115,55,025,013100,55025013100,1400000US55025013100,131,Census Tract 131,G5020,S,126369519.000000000000000,2214966.000000000000000,+43.1791901,-089.7732051,128308226.957000002264977,36.5812988
116,55,025,012900,55025012900,1400000US55025012900,129,Census Tract 129,G5020,S,239709874.000000000000000,4980806.000000000000000,+43.1677150,-089.6635366,244626447.511000007390976,36.7756996
117,55,025,010600,55025010600,1400000US55025010600,106,Census Tract 106,G5020,S,69343097.000000000000000,18315733.000000000000000,+42.9785687,-089.3201702,87658854.059799998998642,36.7224007
118,55,025,000201,55025000201,1400000US55025000201,2.01,Census Tract 2.01,G5020,S,1836348.000000000000000,3089.000000000000000,+43.0673531,-089.4762966,1839437.710560000035912,36.8897018
119,55,025,000202,55025000202,1400000US55025000202,2.02,Census Tract 2.02,G5020,S,2426567.000000000000000,0.000000000000000,+43.0683816,-089.4934380,2426570.320739999879152,36.8897018
120,55,025,012400,55025012400,1400000US55025012400,124,Census Tract 124,G5020,S,146528544.000000000000000,1808249.000000000000000,+42.8903850,-089.3585261,148312987.104999989271164,36.6086998
121,55,025,003002,55025003002,1400000US55025003002,30.02,Census Tract 30.02,G5020,S,1906704.000000000000000,0.000000000000000,+43.1022447,-089.3026265,1906703.455139999976382,36.5270996
122,55,025,000402,55025000402,1400000US55025000402,4.02,Census Tract 4.02,G5020,S,2804265.000000000000000,74173.000000000000000,+43.0513660,-089.4654159,2878436.153729999903589,36.9701996
123,55,025,002301,55025002301,1400000US55025002301,23.01,Census Tract 23.01,G5020,S,2318756.000000000000000,134823.000000000000000,+43.1316144,-089.3793035,2453577.731879999861121,36.5938988
124,55,025,000401,55025000401,1400000US55025000401,4.01,Census Tract 4.01,G5020,S,1816061.000000000000000,0.000000000000000,+43.0547071,-089.4483490,1816062.681929999962449,36.9701996
